y_prob,y_true
0.99630046,1
0.9998889,1
0.99069184,1
0.9964805,1
0.98555,1
0.94464064,1
0.9985776,1
0.9948837,1
0.99996984,1
0.82449985,1
0.9999809,1
0.99945873,1
0.9999865,1
0.9999498,1
0.99998546,1
0.9999852,1
0.8737447,1
0.9683517,1
0.9109239,1
0.9979474,1
0.9994236,1
0.83493876,1
0.6984794,1
0.94235,1
0.3843111,1
0.9780516,1
0.9995097,1
0.99950814,1
0.6142598,1
0.9999747,1
0.738822,1
0.87448823,1
0.40090388,1
0.9959009,1
0.98906124,1
0.98019385,1
0.99996793,1
0.9999815,1
0.99999833,1
0.9300613,1
0.99938273,1
0.99999547,1
0.9091231,1
0.9995378,1
0.99997234,1
0.9998004,1
0.9472011,1
1.0,1
0.99945956,1
0.99993205,1
0.9903842,1
0.98308325,1
0.99948126,1
0.9977702,1
0.4899251,1
0.9991787,1
0.9999484,1
0.99982613,1
0.99133354,1
0.9999987,1
0.9949361,1
0.9915364,1
0.3098555,1
0.22240649,1
0.9999877,1
0.99709356,1
0.9998915,1
0.9995608,1
0.99999917,1
0.99999905,1
0.89179033,1
0.99987614,1
0.9999763,1
0.9986518,1
0.99994934,1
0.9999175,1
0.9985511,1
0.15686691,1
0.99999905,1
0.98981106,1
0.99483854,1
0.9990632,1
0.9991154,1
0.9999877,1
0.5022442,1
0.99973446,1
0.99195963,1
0.96482265,1
0.98738164,1
0.9999392,1
0.9994655,1
0.99862266,1
0.99975544,1
0.999992,1
0.9994497,1
0.21316153,1
0.95531267,1
0.72914267,1
0.9999807,1
0.25928324,1
0.99999917,1
0.9998529,1
0.9972977,1
0.995135,1
0.7517507,1
0.98876953,1
0.9999957,1
1.0,1
0.9997092,1
0.9999995,1
0.9999993,1
0.99996066,1
0.960783,1
0.99182385,1
0.9997136,1
0.9999887,1
0.9803429,1
0.67508394,1
0.8646216,1
0.99171025,1
0.94643027,1
0.92748207,1
0.9976463,1
0.98485756,1
0.9977253,1
0.99948066,1
0.9997738,1
0.9999957,1
0.93810666,1
0.98685735,1
0.99984264,1
0.16822852,1
0.9998147,1
0.9977373,1
0.99512345,1
0.9893662,1
0.9991072,1
0.99648714,1
0.93841165,1
0.99144065,1
0.9950754,1
0.9172838,1
0.97447306,1
0.99999857,1
0.9648426,1
0.99999464,1
0.9342021,1
0.93504214,1
0.9991352,1
0.99999857,1
0.9999553,1
0.99999607,1
0.99991155,1
0.99970824,1
0.99868375,1
0.8455582,1
0.9994418,1
0.97321475,1
0.94885117,1
0.99980074,1
0.998256,1
0.97407895,1
0.7331293,1
0.9992144,1
0.9980965,1
0.9929442,1
0.91352594,1
0.50491565,1
0.9999906,1
0.86047465,1
0.9756816,1
0.77961594,1
0.99567574,1
0.98376715,1
0.99998105,1
0.96168137,1
0.99550277,1
0.99996185,1
0.9999919,1
0.5493349,1
0.98364544,1
0.91107935,1
0.40154073,1
0.9506434,1
0.9999999,1
0.99999845,1
0.30570742,1
0.9991743,1
0.99999833,1
0.28170025,1
0.4121773,1
0.44602543,1
0.5278126,1
0.7999355,1
0.14329739,1
0.6833624,1
0.50627995,1
0.15621896,1
0.84050363,1
0.14024626,1
0.8051455,1
0.99787855,1
0.62519556,1
0.98027885,1
0.98694175,1
0.99796593,1
0.20627566,1
0.2699003,1
0.9981363,1
0.95346034,1
0.20664401,1
0.99771583,1
0.94105756,1
0.99565613,1
0.99444795,1
0.6773689,1
0.9998367,1
0.6019919,1
0.52461904,1
0.99878854,1
0.89731926,1
0.36778504,1
0.99798834,1
0.9930775,1
0.25954714,1
0.23403952,1
0.75791335,1
0.20005889,1
0.107737735,1
0.99998295,1
0.63711214,1
0.99451303,1
0.19993699,1
0.6629883,1
0.77619725,1
0.49880692,1
0.1348564,1
0.40602756,1
0.9684201,1
0.14093585,1
0.24373089,1
0.20567128,1
0.9862277,1
0.95960724,1
0.7301052,1
0.19486332,1
0.98890746,1
0.2971398,1
0.81906706,1
0.24399841,1
0.765807,1
0.67180574,1
0.9957858,1
0.45018408,1
0.3211873,1
0.37558734,1
0.30883595,1
0.9330952,1
0.966294,1
0.98178273,1
0.9903742,1
0.9990115,1
0.16521741,1
0.999181,1
0.45056766,1
0.91054666,1
0.8409306,1
0.32514352,1
0.45363617,1
0.554367,1
0.5361078,1
0.9579001,1
0.9515037,1
0.41008174,1
0.5714268,1
0.67104137,1
0.90167624,1
0.9409629,1
0.52272874,1
0.98683506,1
0.9991787,1
0.9158051,1
0.99952364,1
0.5110136,1
0.991435,1
0.5130117,1
0.2280599,1
0.77994215,1
0.9996137,1
0.91279936,1
0.99068636,1
0.5263668,1
0.7403646,1
0.9992906,1
0.936024,1
0.75619924,1
0.39050016,1
0.17453574,1
0.9997117,1
0.98626256,1
0.16489235,1
0.98901737,1
0.45824715,1
0.9992353,1
0.99960274,1
0.5179916,1
0.68710935,1
0.48070568,1
0.44842616,1
0.96019775,1
0.9055758,1
0.9980964,1
0.99995244,1
0.87652326,1
0.2674427,1
0.44776335,1
0.99999,1
0.96011835,1
0.973724,1
0.26186985,1
0.21212707,1
0.9049235,1
0.5733819,1
0.48901206,1
0.7991857,1
0.90945715,1
0.97653484,1
0.99993896,1
0.6152071,1
0.5576059,1
0.99331164,1
0.97322613,1
0.5301831,1
0.9864915,1
0.81027883,1
0.33665016,1
0.99997973,1
0.993113,1
0.839388,1
0.7034806,1
0.13180521,1
0.69311255,1
0.94517654,1
0.99960834,1
0.2668086,1
0.19635525,1
0.9880164,1
0.99883014,1
0.18729766,1
0.71246934,1
0.9995931,1
0.31452444,1
0.4983033,1
0.9123804,1
0.24218398,1
0.13624138,1
0.98862714,1
0.9984869,1
0.3148219,1
0.99837685,1
0.9981306,1
0.19665244,1
0.91625524,1
0.25811172,1
0.9996842,1
0.52212226,1
0.5760254,1
0.14304456,1
0.26570213,1
0.997283,1
0.9999926,1
0.9963308,1
0.9754039,1
0.16696218,1
0.5891655,1
0.45637962,1
0.7225115,1
0.43727493,1
0.96750456,1
0.9948173,1
0.98901236,1
0.999905,1
0.49215424,1
0.95591915,1
0.99124104,1
0.2960478,1
0.9870521,1
0.68632317,1
0.36868098,1
0.9722544,1
0.644076,1
0.9952277,1
0.9955356,1
0.23792459,1
0.9141724,1
0.93963146,1
0.85036844,1
0.99987507,1
0.99936277,1
0.9959417,1
0.5526298,1
0.8282267,1
0.9996201,1
0.41344106,1
0.9999392,1
0.99762446,1
0.80753523,1
0.41731948,1
0.31006962,1
0.06925019,0
0.20890854,0
0.07043638,0
0.04044121,0
0.07702522,0
0.17662692,0
0.38825828,0
0.113184944,0
0.15954813,0
0.23786399,0
0.19801037,0
0.047845475,0
0.15959537,0
0.1852745,0
0.065150805,0
0.1397568,0
0.29597887,0
0.097026035,0
0.17415662,0
0.067333475,0
0.10102526,0
0.13063176,0
0.15071754,0
0.111599475,0
0.17316881,0
0.12722288,0
0.08029729,0
0.1618813,0
0.2453918,0
0.31625047,0
0.5246454,0
0.19257446,0
0.08289027,0
0.08647195,0
0.08333835,0
0.11422803,0
0.07120282,0
0.06841426,0
0.26820058,0
0.3106547,0
0.15888208,0
0.14857778,0
0.3986738,0
0.17306228,0
0.40130827,0
0.41462737,0
0.3733197,0
0.07641773,0
0.8216926,0
0.20724045,0
0.2529737,0
0.23452282,0
0.22299565,0
0.09978556,0
0.8304198,0
0.52610826,0
0.09971595,0
0.32270885,0
0.0860001,0
0.2695373,0
0.056594387,0
0.06289186,0
0.09914031,0
0.05377746,0
0.3950082,0
0.22509977,0
0.085943,0
0.18653311,0
0.11001759,0
0.13980308,0
0.2552236,0
0.80830413,0
0.08850506,0
0.08347356,0
0.36827528,0
0.046046343,0
0.08455238,0
0.13299608,0
0.3318504,0
0.15457654,0
0.38929588,0
0.57016635,0
0.55473024,0
0.24808,0
0.045184653,0
0.20732474,0
0.1623086,0
0.3241642,0
0.19646928,0
0.28631076,0
0.2883642,0
0.20622924,0
0.19595411,0
0.15471515,0
0.24706644,0
0.11330871,0
0.103327274,0
0.14897358,0
0.19405429,0
0.18338515,0
0.1837328,0
0.09350792,0
0.5658231,0
0.1158102,0
0.5192607,0
0.118502736,0
0.13123171,0
0.5260708,0
0.052298736,0
0.19760345,0
0.12412692,0
0.1673599,0
0.528991,0
0.17876612,0
0.08464751,0
0.13204624,0
0.17015846,0
0.23975885,0
0.24900673,0
0.07717757,0
0.07306458,0
0.24213827,0
0.18827534,0
0.059721466,0
0.58376944,0
0.21362357,0
0.2396154,0
0.21390514,0
0.23656201,0
0.4520626,0
0.31912163,0
0.15455157,0
0.28621632,0
0.20109949,0
0.22211982,0
0.25821972,0
0.15341718,0
0.13036083,0
0.055654153,0
0.2634892,0
0.099171795,0
0.045519207,0
0.24886928,0
0.293715,0
0.091702394,0
0.17493254,0
0.1782345,0
0.107615754,0
0.1268235,0
0.09186986,0
0.09460505,0
0.055494856,0
0.15487434,0
0.12741524,0
0.045002807,0
0.3155472,0
0.07565652,0
0.12761822,0
0.2737857,0
0.12173894,0
0.24898186,0
0.27473667,0
0.09326399,0
0.34729657,0
0.07902789,0
0.21111356,0
0.0844794,0
0.07276153,0
0.13093717,0
0.098903224,0
0.08359772,0
0.14092286,0
0.15578237,0
0.08112472,0
0.41923276,0
0.099332765,0
0.05460447,0
0.07438878,0
0.07694501,0
0.052256912,0
0.08914443,0
0.08682114,0
0.08265126,0
0.19332989,0
0.12922592,0
0.13110408,0
0.09938856,0
0.112854496,0
0.14379114,0
0.11171508,0
0.51602143,0
0.37641168,0
0.09566495,0
0.3171489,0
0.2092357,0
0.37199122,0
0.16817966,0
0.10465126,0
0.20488916,0
0.36728278,0
0.09287231,0
0.19671106,0
0.08540964,0
0.09461584,0
0.18302429,0
0.12794822,0
0.081766486,0
0.044191092,0
0.1878936,0
0.14201057,0
0.5392893,0
0.1897016,0
0.047997296,0
0.30878785,0
0.04285518,0
0.11339029,0
0.027791873,0
0.16388597,0
0.42214352,0
0.3125972,0
0.28583446,0
0.100582555,0
0.07450771,0
0.21552199,0
0.07145962,0
0.27490735,0
0.30728078,0
0.14243497,0
0.36183783,0
0.16361459,0
0.2071206,0
0.0828034,0
0.19945319,0
0.26385522,0
0.102096125,0
0.10265412,0
0.10428356,0
0.14282903,0
0.08120235,0
0.11650634,0
0.056426145,0
0.4936596,0
0.06708832,0
0.17763433,0
0.24475259,0
0.23178259,0
0.09102567,0
0.25975007,0
0.18333946,0
0.07614308,0
0.16196369,0
0.6768101,0
0.07567178,0
0.08358398,0
